gene_name,microbiome_pvalue,tissue_pvalue,microbiome_logFC,tissue_logFC
KCNE3,1.99E-05,0.00768,-2.38619,-1.2171859
RANBP10,0.0231,0.00769,0.6903625,-0.2075986
DSG2-AS1,0.00691,0.0077,-2.0941309,0.1617939
ERLEC1,0.000488,0.0077,1.1979276,0.4386875
LOC101929036///PAH,2.93E-07,0.00771,5.642345,0.2466846
ADAM5,0.0398,0.00771,1.3592503,0.2220464
CLDN18,1.18E-08,0.00771,-6.6162353,-2.116142
CDS2,0.0168,0.00773,-0.8209936,-0.3600282
PHIP,0.00763,0.00773,0.6971791,-0.723717
PPFIA1,9.91E-05,0.00774,-0.9794202,-0.3946746
RABEP1,0.0172,0.00774,-0.8145345,-0.6066661
LOC102724200///TRAPPC10,0.000409,0.00774,-0.9970498,-0.3603305
LOC101927420,0.0136,0.00774,0.6098623,0.2919461
FOPNL,0.00222,0.00774,1.091776,-0.4834707
LONRF1,0.000332,0.00775,0.911218,-0.5482986
METTL10,0.0194,0.00775,0.9523701,-0.5727439
PHKG2,0.000669,0.00776,-1.524006,0.2566682
DLEC1,0.0295,0.00776,0.9985135,0.3040009
SEC63,1.50E-06,0.00778,1.7014435,0.6217416
LMNA,0.0184,0.0078,0.8475754,-0.3672545
DAPP1,0.00648,0.0078,-1.5329716,-0.4858902
PHF14,0.00155,0.0078,-0.889505,-0.1972863
TRIM33,0.00788,0.0078,-0.7648887,-0.4061152
MS4A2,0.000802,0.00781,2.6413463,-0.5388623
FRG1JP,0.0445,0.00782,-2.0472326,-0.1797502
SLC25A35,0.00129,0.00782,-1.6812942,0.2388337
FBXO16///ZNF395,0.00146,0.00783,1.0088317,0.8057071
TTC27,0.0323,0.00783,-0.5765609,0.2135461
AFDN,0.000805,0.00784,-0.7221563,0.2192257
SON,0.000226,0.00785,-0.9173713,-0.3980863
RAB22A,0.00197,0.00785,-0.7224764,0.2402205
RRBP1,0.00148,0.00786,1.0544484,0.6006
ASXL1,0.00736,0.00786,-0.6674148,-0.2731507
FUT3,7.51E-06,0.00787,-1.7869379,-1.1392689
RAB18,0.000368,0.00787,-1.2312724,-0.3285229
CC2D2A,0.00539,0.00788,0.932635,0.2993027
MAPKAPK2,0.0209,0.00789,1.40089,0.3317079
CENPU,9.33E-05,0.00789,-2.2529786,-0.3219755
CHD5,0.00198,0.00789,1.8899591,0.4165637
COQ3,0.0374,0.0079,0.5440017,0.3387589
GUCY1A3,1.63E-05,0.00791,3.3217571,-1.2408302
ZNF71,0.00139,0.00791,1.9952709,0.2047859
TRIM10,0.0145,0.00791,-0.7909898,0.2417668
PMS2P3,3.51E-05,0.00792,-1.1201736,-0.2856427
POU2F2,0.00141,0.00792,1.8450054,0.3776402
ZNF677,0.000541,0.00793,2.456695,-0.6073175
BCAT2,2.74E-05,0.00793,1.7994101,0.5026591
SERPINF2,0.00464,0.00794,1.3490512,0.5733596
TRMT13,0.0211,0.00794,-0.6409077,-0.5852014
GNA11,0.000165,0.00795,0.9510658,0.2885118
SYT17,0.00178,0.00795,-1.9518823,-0.7544366
PHLDA2,0.027,0.00795,-1.0935765,0.227145
BLZF1,0.0137,0.00796,-1.0367068,0.2178455
STK39,0.00135,0.00796,-0.9501819,-0.813558
MEIOC,0.0283,0.00796,0.7905157,0.6133452
LOC101927948,0.047,0.00797,1.319853,0.2580395
PCSK2,0.000974,0.00797,2.5410328,1.3779005
HDGFRP3,0.000148,0.00797,2.9169885,-0.84198
GPRIN1,0.0304,0.00797,0.942368,0.3609596
ZNF148,0.0146,0.00797,-0.5807808,-0.4202123
AKAP13,0.00151,0.00798,-1.1379885,-0.2494279
FGF18,0.00516,0.00798,2.1928354,-0.5581339
PROSER1,0.0378,0.00798,-0.4558678,-0.3750071
SMAGP,5.77E-08,0.00799,-2.2314078,-0.8587604
CASP2,0.000636,0.00799,2.0788294,0.3441862
MTPAP,0.003,0.008,0.91827,0.4936429
SQLE,0.000628,0.008,-1.5259513,-0.8093804
GCNT1,0.000514,0.00801,-2.0667894,-0.8048639
NUCB2,7.58E-06,0.00801,2.3711647,1.1471718
ZNF536,0.00185,0.00801,2.1255034,0.2490275
IRAK2,0.0251,0.00801,1.5903367,-0.9526241
GSK3B,0.000317,0.00801,-0.8804208,-0.4587193
WDHD1,0.000175,0.00802,-2.435244,-0.3694505
ZNF451,0.00144,0.00802,-1.4078872,0.2464155
ANAPC5,0.0102,0.00802,-0.7027415,-0.5930545
SAMD11,0.0136,0.00802,1.3153468,-0.4622095
ACTR2,0.00794,0.00803,-0.9256515,-0.6929021
DDAH1,0.0091,0.00803,1.171556,-0.4302684
GAB1,0.0169,0.00804,1.4002036,0.2368634
IDNK,0.000164,0.00804,-1.7678431,0.4405004
TOMM20,0.0219,0.00805,0.654772,0.4955232
TPT1P8,0.0333,0.00806,1.0612584,0.1996584
ST7-AS2,0.0325,0.00806,1.6441852,0.224067
MYB,0.000205,0.00806,-2.4602849,-0.540495
CCDC125,0.00272,0.00807,-1.3512949,0.4609805
SDHD,0.0468,0.00807,0.5585116,-0.3012461
GLIDR,0.0261,0.00807,0.7758818,0.5383154
EIF4EBP2,0.00342,0.00808,-0.7648527,0.2481002
ZNF462,9.33E-08,0.00808,-2.1311999,0.3078562
MYT1L,0.00168,0.00808,2.3674196,0.2581682
FSTL1,3.21E-06,0.00809,2.7694227,-0.7358463
MIR17HG///MIR92A1///MIR20A///MIR19B1///MIR19A///MIR18A///MIR17,0.0287,0.00809,0.7674314,-0.6941863
HCAR3,0.00618,0.00809,2.0907293,-1.5719479
CAMK2G,6.76E-05,0.0081,-2.1108428,-0.4311414
FBXO43,0.00797,0.0081,-1.5398997,0.227977
TRNAU1AP,0.0237,0.0081,0.7312511,0.1937611
LOC101930388///LOC101928143///NUMB,0.00233,0.00811,-1.0631148,-0.3007371
ANKRD35,0.0158,0.00812,1.2983715,-0.3510427
NDUFS6,1.19E-05,0.00812,-1.2647797,-0.5077234
TRPM4,2.64E-06,0.00812,-2.9914063,-0.7109777
USP47,0.00109,0.00812,0.7120152,-0.5656264
PRCP,0.000216,0.00813,1.2328225,-0.5439193
LMF1,0.00886,0.00813,1.5229586,0.5331116
PPP3R1,0.00816,0.00813,0.6399285,-0.5379652
CHD7,0.00499,0.00813,-0.7776196,0.1843416
CDKAL1,0.0436,0.00813,1.7506107,0.2126354
ZNF154,0.00719,0.00814,1.8044805,0.2350532
LRRN4,0.0354,0.00814,0.9296021,0.5497066
GAD2,0.00166,0.00815,2.2220981,1.3045018
GON4L,0.00226,0.00816,-1.2114643,-0.4511882
NAB1,9.29E-06,0.00816,-1.3653123,0.2670291
FAM149B1,0.00191,0.00816,0.7365497,-0.3398309
DLAT,0.0247,0.00816,-0.759638,-0.3785146
FOXK2,0.00425,0.00816,1.6791596,-0.425145
SPRY4-IT1,8.60E-07,0.00817,-2.8479016,-0.6492375
MYL2,0.0459,0.00817,1.2243379,0.3492479
ZNF268,0.0395,0.00819,1.0834641,0.3255968
PML,0.000754,0.0082,1.184474,-0.4078532
LOC100288721,0.00203,0.00822,-1.9777409,0.2016532
TTC30A,0.0302,0.00822,-0.6610353,-0.4497698
MTHFD2L,0.00443,0.00822,-1.4570887,0.2761848
PPP3CB,0.00139,0.00822,0.9461424,0.4118621
CCEPR,4.49E-05,0.00822,2.6906077,0.9372054
CDK11A///CDK11B,4.10E-07,0.00822,-1.7810767,-0.359845
GOPC,0.00553,0.00822,-1.4861057,-0.4205093
APTR,6.54E-05,0.00823,-1.3682199,0.2767134
METTL21A,0.00936,0.00823,-0.8462507,-0.4260316
KPNB1,0.0221,0.00823,-0.5040808,-0.4892018
CYBB,0.000209,0.00823,1.6972628,-0.975348
PWP1,0.0326,0.00823,0.493364,-0.2313211
APH1A,0.0195,0.00825,-1.1078279,0.353063
NFIL3,1.24E-06,0.00825,1.9867045,-1.0313184
HAUS7///TREX2,0.0025,0.00825,1.5197297,-0.4294089
TMTC2,0.000206,0.00825,-0.9731058,-0.57797
ITIH4,0.00196,0.00825,1.9208414,1.2821329
KCNG1,0.0285,0.00826,1.2774804,0.5241437
GTF3C2-AS1,0.0075,0.00827,1.3462447,0.2539643
MBNL3,0.000113,0.00827,-0.9106307,0.358517
KIAA1755,0.00441,0.00828,1.9233348,-0.5873009
LYAR,0.00506,0.00828,-0.6621334,-0.7817554
SURF4,0.000602,0.0083,-0.8932104,0.3543725
SYT11,0.000468,0.0083,1.9335351,-1.0480338
VIPAS39,0.0226,0.0083,1.4099264,-0.3381739
ND6,0.0166,0.00831,-0.7364666,0.7227555
RBL2,0.014,0.00831,-1.3201857,-0.4693148
TMPRSS13,0.000307,0.00831,1.7877908,0.429417
ZKSCAN1,0.000598,0.00832,-0.9970076,-0.5508596
TRIM25,1.95E-08,0.00832,-2.1372013,-0.4975111
GPC1,0.0211,0.00832,1.2999336,0.3622086
KRIT1,0.0379,0.00832,-0.5233053,0.2405587
C7orf55-LUC7L2///FMC1///LUC7L2,0.00958,0.00832,0.8390482,0.4914662
BRCC3,0.000694,0.00833,-0.749625,-0.6528757
MYH14,7.83E-07,0.00833,-2.5004754,0.3947073
HEY2,9.43E-07,0.00833,2.9066924,0.4592268
ATP9B,0.00164,0.00834,1.9236719,0.2686809
MIR124-2HG,0.00172,0.00835,1.6832673,0.1873348
NDUFA11,0.035,0.00835,0.8515079,0.3303562
TNFRSF25,0.000478,0.00836,1.7983604,-0.3929346
KIAA1755,0.00441,0.00836,1.9233348,0.328967
LINC00839,0.0418,0.00836,1.5168409,0.3222293
MARVELD2,1.47E-06,0.00836,-1.6238566,0.7735766
NCAPH2,0.000837,0.00837,-1.0680294,0.259992
HPS3,0.000611,0.00838,-1.0646261,0.3727195
LOC283075,9.86E-09,0.00839,6.3577058,1.4364341
RANBP2,0.0309,0.00839,-0.6323827,-0.4789736
ATP6,0.00418,0.0084,1.1636811,0.354002
ARHGAP19,0.00912,0.0084,-0.9186423,0.3091405
RAG2,0.0341,0.0084,-1.390669,0.1698696
ATF6,0.00562,0.0084,0.9587236,0.5137755
COPB1,0.0139,0.0084,-0.5802194,-0.4369904
MIR631///NEIL1,6.25E-05,0.00841,1.9203271,-0.3377184
SDF4,0.00383,0.00841,0.9244837,-0.2031716
HNRNPH1,0.00464,0.00841,1.1723507,-0.6702241
EPOR,8.82E-05,0.00841,1.4209931,0.4281811
RPS27,0.0114,0.00841,0.7090929,-0.1303464
BTF3L4,0.00409,0.00842,0.5732969,0.2146818
CAMSAP1,7.50E-06,0.00843,-3.5340763,-0.4906248
VPS33B,0.00369,0.00843,-0.7304909,-0.5174859
PLEKHG3,0.0245,0.00844,0.756421,0.528387
KIAA1217,1.93E-08,0.00844,-2.0950088,-0.6327609
EXOSC6,0.00189,0.00844,0.7918796,0.4046096
RUFY2,3.61E-05,0.00845,-1.3292174,-0.5391
UBE2G2,0.00993,0.00845,0.8817679,0.4156704
ZSCAN12,0.00116,0.00845,2.1758925,0.3006612
MED12,0.0241,0.00846,-1.0312001,-0.2934352
GID4,0.00165,0.00847,1.2917683,0.4305695
SDCCAG3,0.00618,0.00848,1.485436,-0.2777234
CCDC14,0.000987,0.00849,-1.0919196,0.1793882
NPM1,0.00333,0.0085,0.7438447,0.6307411
RAN,0.000628,0.0085,-0.8559733,-0.4170293
MYNN,0.00173,0.00851,-0.757116,0.2032373
ELOVL5,0.00842,0.00852,1.3000286,0.279012
EGLN3,0.000391,0.00852,-2.1950886,-1.3766314
AASDHPPT,0.00139,0.00853,0.8586042,0.4148934
EFHC2,0.00554,0.00853,-1.2458964,0.2001007
SYNPO,0.00163,0.00854,1.5890002,-0.8521607
YWHAZ,3.95E-07,0.00854,-2.4783326,-0.5351579
ESCO1,0.00117,0.00855,-1.1545885,-0.6766823
CNBP,1.99E-06,0.00855,1.1969929,0.2856589
RPRD2,0.00492,0.00855,-0.7356803,0.2100498
NIPBL,0.00246,0.00855,-0.846071,-0.4329975
LOC105274304,0.00107,0.00856,-2.243238,0.2749821
DSG2,0.00368,0.00856,-1.1905599,-1.2896066
TMOD3,0.00234,0.00857,-1.2443558,-0.8202064
PRKG1,8.77E-08,0.00857,1.7273603,-0.506547
ALDH2,0.00148,0.00859,-0.9850208,-0.6938261
SSR1,0.0194,0.00859,0.7289942,0.7951341
LINC00907,0.0152,0.00859,1.2985526,0.1823084
ARHGAP27,0.0018,0.0086,-1.5534909,-0.8916607
INO80C,0.013,0.0086,-0.7640171,0.2825264
PDXK,0.0145,0.00862,-0.6887391,0.3502677
DLG5,0.000532,0.00862,-1.7980098,-0.4363063
LDHB,2.37E-06,0.00862,3.5751969,0.5360911
MIR3654///EEF1G,3.54E-05,0.00862,1.3458082,0.1744875
PALMD,3.90E-05,0.00865,3.5574782,-0.7189632
SLC25A42,0.0124,0.00866,1.8187564,0.2425798
LOC101929148,0.00812,0.00866,2.0025613,0.1825259
DSC2,0.000213,0.00866,-2.0141706,-0.6601132
ZNF207,3.29E-05,0.00866,-2.3033795,-0.4793438
ADD3,0.00686,0.00867,-0.941738,-0.6721468
CYFIP2,0.0387,0.00868,1.5136937,-0.7052284
CFB,0.0163,0.00868,1.6628107,-1.2488938
WDR61,0.00048,0.00868,0.9272713,-0.3852607
EXOSC6,0.00189,0.00868,0.7918796,0.457683
RAB11B-AS1,0.00394,0.00868,1.277428,0.4239854
WDR59,0.000515,0.00869,-0.9414762,0.4051395
RBM39,1.33E-06,0.00869,-1.5145159,-0.3281507
ZNF611,0.00738,0.00869,1.0190743,0.1725805
ELOVL5,0.00842,0.00869,1.3000286,-0.4064759
ENAH,0.00154,0.0087,0.9618748,-0.6504029
TARP///TRGV9///TRGC2,0.00625,0.0087,1.375517,-0.9459259
RAB23,1.24E-07,0.00872,1.9104803,-1.0154248
PCIF1,0.000248,0.00873,1.3750855,0.2238379
TROVE2,0.0014,0.00873,-0.7232141,-0.5075438
SMDT1,2.77E-05,0.00873,1.5602512,0.4924607
SEMG2,0.0259,0.00874,-1.6282157,0.1690059
RBM25,2.53E-05,0.00874,-1.4416409,-0.5418966
ENSA,5.73E-07,0.00874,-1.3277629,0.4262011
RBM12B,8.49E-05,0.00874,-0.9229687,-0.3904034
HERC2P7,6.93E-05,0.00875,-1.5693454,0.2144484
LOC105377371,0.0216,0.00876,-1.0107234,-0.198922
ADCY9,0.000221,0.00877,1.1366677,0.5048527
ACTR3C,0.00327,0.00878,1.0734957,0.806375
PSMD11,0.0156,0.00878,0.7363975,-0.5259502
KIF23,0.000675,0.00879,-2.0798864,-0.9415734
LAMA2,3.01E-07,0.00881,2.4019563,-0.8318113
LOC284009///METTL16,0.0029,0.00881,0.7399245,0.3518196
DIRC2,0.0285,0.00881,0.5288492,0.4051507
EFCAB14,4.41E-05,0.00882,-2.1277587,0.29842
FHDC1,0.000384,0.00883,-1.203344,-0.3853061
GCN1,0.00282,0.00883,-0.6356427,-0.4238864
PPP2R1B,0.000432,0.00884,1.14964,0.3629436
GNG7,0.00414,0.00884,1.5346234,0.4122745
ANGPTL2,0.00102,0.00884,2.0308424,-0.5287088
RXRB,0.00191,0.00885,1.6837408,-0.3602804
FKBP1A-SDCBP2///SDCBP2,0.000136,0.00885,-1.5819195,-1.1170568
CNN3,2.02E-06,0.00887,2.8288256,-1.160957
TM9SF3,6.35E-07,0.00888,-1.4693766,-0.6130175
C1QTNF2,0.00336,0.00888,1.8777444,-0.5449429
FUT9,0.0296,0.00888,2.1673634,0.2210929
FAM213A,0.000469,0.00889,1.3929524,0.4744668
MBD1,0.00645,0.00889,1.0454822,0.2255182
POLR3K,0.0487,0.0089,0.5087012,-0.3436238
DCUN1D5,0.0354,0.0089,0.5765949,0.3248179
CCT2,0.00288,0.00892,0.8125491,-0.5237139
RPS3,0.00351,0.00893,0.8380093,-0.1629411
SFT2D2,0.000523,0.00893,-0.8516819,-0.4395661
ASPG,0.0486,0.00893,1.0849051,0.2272636
MUM1,0.000374,0.00893,-1.5493688,0.3153352
RPA4,1.62E-06,0.00894,-2.1897691,-0.2745927
MRPS10,0.0255,0.00894,-0.6049767,-0.5293384
SEC63,1.50E-06,0.00895,1.7014435,0.488995
ATAT1,0.0434,0.00895,-0.5615798,-0.3249138
CHL1,0.000684,0.00895,3.1656733,-0.9275298
CANX,2.90E-06,0.00895,3.3805908,-0.5553832
PAK3,8.28E-08,0.00896,4.4664607,1.4648805
ABAT,5.03E-06,0.00896,2.5159821,1.8178791
RNASEH2C,0.00053,0.00897,1.0939978,0.2301452
SAP30,0.0259,0.00898,1.1669607,-0.4462946
LOC101928818///PWRN1,0.00856,0.00898,1.8333852,0.2308711
APOPT1,0.00322,0.00898,0.8494362,0.4012614
KLHL5,0.000777,0.00898,1.3989109,0.2199205
ZNF529,0.000117,0.00899,1.8792051,-0.289963
YWHAH,0.000446,0.00899,-1.431902,0.2596604
LOC101930373///HYDIN2///HYDIN,2.31E-06,0.009,2.0890722,0.3891227
SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4,0.000113,0.009,1.2494016,0.3019196
PDXDC1,1.44E-06,0.00901,-3.2600913,-0.2642114
FOXP1,9.40E-07,0.00901,-1.6950438,-0.3817195
CASC7///AGO2,0.035,0.00903,-0.8785443,-0.7591411
C8orf59,0.000762,0.00904,-1.0711636,-0.6438302
FAM13C,1.54E-07,0.00904,4.2045517,0.194432
UBE2J2,0.000222,0.00904,1.0427405,0.2636004
TEX9,2.05E-05,0.00905,-2.3328359,0.1255084
MAP3K13,4.18E-07,0.00905,-1.9234424,0.3886796
MMAA,0.00163,0.00906,-0.7685039,0.1543439
WDR35,0.0178,0.00906,0.6514422,-0.533145
STYK1,9.15E-05,0.00906,-2.9244604,-1.4366077
ITPRIPL1,0.00942,0.00906,1.2519575,0.2793805
ZBED3-AS1,0.0382,0.00908,1.2825658,0.3191723
RIN3,0.0174,0.00909,-1.2058293,0.347573
GPSM2,7.19E-08,0.00909,-2.9309025,0.2442854
SLC2A1,0.00127,0.00909,-1.7260132,-1.2521259
CH17-340M24.3,6.42E-06,0.0091,1.7877424,0.3321984
RGS4,0.0113,0.00912,1.8756475,-0.7394395
RMND1,0.00256,0.00912,-1.716628,0.2539091
KRT222,0.00021,0.00912,3.487213,0.3338439
SNTB1,3.28E-05,0.00913,2.1189697,0.6660143
FERMT1,4.78E-06,0.00914,-3.1760215,-1.2349813
PRKAG1,0.0442,0.00914,0.6256782,0.231628
ELFN2,0.00485,0.00915,1.6524863,0.3328911
SSBP3,0.00847,0.00917,-0.5689977,-0.6108927
ZNF287,0.00636,0.00918,-1.2837961,0.1797668
RPS6,0.00677,0.00919,0.8765894,0.2285911
ERG,3.43E-07,0.00919,2.8180984,0.3470546
NMRK1,0.000399,0.00919,1.086198,0.5365439
PCBP1-AS1,0.012,0.00919,1.2586753,-0.2212043
PTPN2,0.024,0.00919,-1.2594021,0.3180637
MAN1A2,0.00071,0.0092,1.7640365,0.3524743
SEC23IP,0.000301,0.0092,-1.2583117,-0.409117
MIR6727///CPSF3L,0.00237,0.0092,2.0698974,0.2429321
ST8SIA3,0.00555,0.0092,1.8720025,0.487525
MED28,0.00242,0.0092,0.6861404,-0.2911321
S1PR3,3.60E-06,0.0092,3.4027419,-0.5617195
SIN3A,0.0043,0.00921,-1.3827261,-0.3693859
DDI2///RSC1A1,0.0318,0.00921,-0.5243859,-0.5227348
FOSL2,0.000257,0.00921,-1.0385719,-0.6150793
PTMA,0.0124,0.00923,-0.6767981,-0.4531768
HNRNPU,0.00196,0.00924,-0.9185442,-0.4248863
SSR1,0.0194,0.00924,0.7289942,0.53703
OAF,1.53E-05,0.00924,2.5119742,0.6331896
ELL2,0.000341,0.00925,1.3345588,0.7615171
CALCRL,3.92E-06,0.00926,3.2670995,-0.531547
ADAMTS2,8.16E-07,0.00927,3.0184164,-0.4141762
UBN2,0.0154,0.00928,-0.9349871,-0.4538534
ALDH1L2,7.56E-07,0.00928,4.5343355,1.13109
HEG1,9.90E-08,0.0093,2.7590241,-0.7999686
NEK6,0.0111,0.0093,-0.7985249,0.3107379
SNRPE,0.0185,0.0093,-0.5502495,0.2680357
LZTS1,9.63E-07,0.00931,2.0797438,-0.2646416
TRIM66,0.00435,0.00931,-0.8210962,0.35933
EBPL,1.22E-06,0.00934,1.5760776,0.4107836
GOPC,0.00553,0.00934,-1.4861057,-0.3543266
MKX,0.000912,0.00934,2.8392595,0.166847
GKAP1,0.00329,0.00934,0.8969992,0.6885259
WSB1,0.00389,0.00934,-0.8039218,0.3525848
RBM14-RBM4///RBM4,0.000661,0.00934,-0.8920701,-0.2736071
FAXC,0.000318,0.00938,2.2767587,0.1718646
INSM1,0.0391,0.00939,1.0156054,1.2790725
APLF,0.00824,0.00939,1.5126111,-0.1810196
FAM47A,0.00443,0.00939,1.2895239,0.2545175
PREP,1.91E-05,0.00939,-1.4569862,-0.3159223
MLX,1.15E-05,0.00942,2.1380965,0.262648
NDUFA11,0.035,0.00944,0.8515079,-0.3688071
SLC5A9,0.000133,0.00944,2.7355768,0.5226161
PIEZO2,0.0188,0.00945,1.918751,0.238367
ADAMTS5,4.41E-05,0.00946,2.8665415,-1.1690359
GOLIM4,0.0158,0.00946,-0.7863695,0.2539889
KLHL22,0.0312,0.00947,1.1149368,-0.2848838
SLC35D1,0.00016,0.00948,-1.0641924,0.3148573
CPED1,9.68E-05,0.00949,2.7577536,-0.6664396
APOL4,0.000797,0.00949,1.7678529,0.2534279
GNA11,0.000165,0.00949,0.9510658,0.2667993
LPAR2,0.00122,0.00949,-1.2899675,0.4713145
ATP5O,0.000229,0.0095,-1.0576594,0.194048
DPP6,2.83E-09,0.0095,4.6796327,1.1572296
NCAPG,0.00393,0.00951,-1.9460292,-0.8678355
FOXP1,9.40E-07,0.00952,-1.6950438,-0.4430943
SETD6,0.0232,0.00953,0.7831271,0.5770123
CSRNP3,0.0281,0.00953,1.8270151,0.2087729
C7orf34,2.70E-05,0.00954,2.0469151,0.2238711
OMA1,0.000261,0.00955,-0.8422213,-0.5601034
HCG18,0.0238,0.00955,-1.1199279,-0.2297139
RNF152,0.0281,0.00955,2.0831291,0.194573
ITSN1,0.00309,0.00957,1.9277486,0.1614493
FAAP20,0.000279,0.00958,0.9048804,0.2840123
MIR4738///H3F3B///H3F3A,0.00415,0.00958,0.6307372,-0.4710321
FANCD2,4.02E-05,0.00959,-2.4077542,0.1824595
ANTXR2,0.0247,0.00961,-1.0259778,-0.2508113
JADE1,0.0227,0.00961,1.0227921,0.8615287
CELF4,2.69E-10,0.00962,4.6028046,0.2244054
ZNF148,0.0146,0.00962,-0.5807808,-0.4409291
DMD,0.000387,0.00963,2.7393157,1.4320059
HNRNPH3,0.0133,0.00963,-0.6203098,-0.4883243
PCSK6,0.0134,0.00963,1.3085732,-1.1192646
ADTRP,0.00222,0.00964,-3.2613827,0.3338586
LOC100996792///MAP2K3,0.00046,0.00964,-1.069206,-0.3991907
ZNRD1,0.000947,0.00964,-1.4868783,0.2064362
IPO5,2.36E-05,0.00965,1.1691521,0.7500141
MAFB,6.59E-08,0.00965,2.1624671,-0.6990261
NAA40,0.0253,0.00965,-0.8881407,-0.3496963
SMARCA1,0.0052,0.00967,1.8574726,-0.6539623
HNRNPH1,0.00464,0.00967,1.1723507,-0.6600652
MVB12B,0.000894,0.00968,1.3742347,0.315887
C20orf166-AS1,0.00526,0.00969,1.1411742,0.2382063
RRAD,0.000586,0.00969,1.8822756,-1.0819393
CLTB,0.000327,0.0097,-2.3250239,-0.783117
KIF15,0.00821,0.00971,-1.2742353,-0.5781488
ANKH,0.0293,0.00973,1.2792252,-0.6714461
PHKB,1.95E-05,0.00973,-2.0274518,-0.5092932
APOL6,0.0173,0.00974,-0.5996411,-0.6498229
SNHG4///MATR3,3.74E-05,0.00974,3.0915478,0.1956648
NBPF20,0.0454,0.00974,0.5605567,0.3372177
HPYR1,0.00459,0.00974,0.9853384,0.2241814
DNAJA4,7.85E-05,0.00974,1.3993723,-0.890393
ADAMTS9-AS2,0.00151,0.00975,2.5248638,0.2600634
ITSN1,0.00309,0.00975,1.9277486,0.2396573
FSTL3,1.25E-06,0.00975,2.6316541,-0.6459746
PAIP1,0.000237,0.00976,-0.984009,-0.5169418
KHDC1,0.000531,0.00976,1.7753289,0.1937602
LOC101928269///LOC100506403///RUNX1,0.000106,0.00976,-2.2364995,0.3197602
SH3KBP1,9.52E-05,0.00976,-2.0305788,-0.6465382
MET,0.000918,0.00977,-1.5124478,-1.3208316
ORC3,0.00209,0.00977,0.7862644,-0.5063075
FOXP2,1.24E-05,0.00978,4.649197,0.2087609
F11R,2.57E-06,0.00978,-1.2064654,-0.6924823
ENAH,0.00154,0.00978,0.9618748,-0.7190512
SNX22,0.000829,0.00979,1.8677761,0.245948
CD53,4.68E-06,0.00979,1.7972166,0.2081477
SUPT3H,0.00027,0.0098,1.1909821,0.3698145
C15orf41,0.00614,0.00981,-1.0137514,0.1674525
TMEM127,0.00137,0.00981,-1.4249246,-0.3488438
EPHB2,0.00777,0.00982,0.9666431,-0.5302711
SERTAD4,0.0125,0.00982,-1.7168894,-0.3507054
TNFSF8,0.0242,0.00983,1.6208708,0.3349779
AGMAT,0.000328,0.00983,-2.1988421,0.3434027
JAK3,0.00505,0.00984,0.9883054,0.3035677
IRGQ,0.0091,0.00984,-0.5735354,-0.2621664
SLC17A4,0.000236,0.00985,3.0027006,0.4816709
ATP2C2,9.73E-05,0.00985,-2.7927161,-0.8507611
CASR,0.00117,0.00986,1.9880984,0.5135264
RXRB,0.00191,0.00986,1.6837408,-0.2057346
NSMAF,0.00128,0.00987,-1.2548031,-0.5151721
MCOLN3,0.000113,0.00988,2.2975131,0.5093129
LINC01210,0.00858,0.00989,1.9144145,0.26315
PTGIS,2.89E-06,0.0099,4.2605512,-0.7525154
AAK1,0.0134,0.0099,0.7679775,-0.3843055
MED28,0.00242,0.0099,0.6861404,0.212792
ROPN1L,0.0253,0.00991,1.8892487,0.2132373
ZBTB20,1.32E-05,0.00991,-1.5205224,-0.5256413
MRPL10,4.27E-06,0.00992,1.2679839,0.4108623
FKBP8,0.0114,0.00992,1.0745371,0.2608625
C20orf196,0.0176,0.00994,-0.9814881,0.3290029
DIO2,6.48E-06,0.00994,3.4024113,0.3765287
SLC30A5,0.0173,0.00994,0.7653896,-0.2950291
LOC158402,0.00364,0.00994,-0.9684391,-0.7319725
SLC5A12,0.00982,0.00995,1.9447081,0.181277
CETP,0.0439,0.00995,1.1482186,0.5839293
TCF3,0.0189,0.00996,-0.6734571,-0.429178
SERBP1,0.00434,0.00997,0.6829361,-0.4179016
LOC101927829,0.029,0.00997,1.3699807,0.1515018
GGT7,0.032,0.00998,1.2574108,0.4301252
BARD1,0.00237,0.00998,-1.7868422,-0.5141184
LSAMP,0.000483,0.00998,2.5239051,-0.5010118
ATAD3B,0.0144,0.00999,1.5506828,0.3665096
RGL4,0.016,0.00999,1.6473569,0.3181966
MIR600///MIR600HG,0.00325,0.01,1.4372173,0.4286827
FAM49A,1.27E-06,0.01,3.0660468,-0.3137252
DEFB119,0.00993,0.01,1.7077299,0.273427
HNRNPU,0.00196,0.01,-0.9185442,-0.3639946
ANKRD20A12P,0.036,0.01,1.3100267,0.2195229
UBE3A,0.0065,0.01,-0.7148627,0.3559375
COPG1,0.0224,0.01,-0.6223105,-0.3874416
COL4A3BP,0.04,0.01,-0.6647312,-0.4887127
TRIM14,0.000635,0.0101,-1.4879588,0.3427477
CAPN5,2.11E-08,0.0101,-2.433849,-1.2514991
USP33,0.00158,0.0101,-0.884423,-0.3692121
SGPP2,0.0028,0.0101,-1.4941925,-0.8872148
KIF19,0.0493,0.0101,0.8196166,0.2083864
RPS6KB1,0.00434,0.0101,0.8629185,-0.5669293
C5,1.90E-05,0.0101,2.8769362,1.3707063
